Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Washington Nationals,98,64,0.605,4.5,3.7,0.8,-0.2,0.7,96-66,2,42-30,29-13,17-13,08-Oct,50-31,48-33,13-Jul,27-21,69-45,29-19,48-40,50-24
2,Cincinnati Reds,97,65,0.599,4.1,3.6,0.5,-0.3,0.2,91-71,6,19-15,49-30,22-Dec,08-Jul,50-31,47-34,07-Jul,31-21,65-47,32-18,40-36,57-29
3,New York Yankees,95,67,0.586,5,4.1,0.8,0.2,1.1,95-67,0,41-31,21-16,20-15,13-May,51-30,44-37,03-Jun,22-25,58-43,37-24,47-44,48-23
4,Oakland Athletics,94,68,0.58,4.4,3.8,0.6,0.2,0.8,92-70,2,28-18,23-18,33-24,08-Oct,50-31,44-37,05-Nov,25-18,64-39,30-29,47-44,47-24
5,San Francisco Giants,94,68,0.58,4.4,4,0.4,-0.2,0.2,88-74,6,15-19,27-14,45-27,08-Jul,48-33,46-35,05-Aug,30-20,54-49,40-19,44-42,50-26
6,Atlanta Braves,94,68,0.58,4.3,3.7,0.6,-0.1,0.5,92-70,2,46-26,19-19,21-13,10-Aug,48-33,46-35,04-Jul,25-13,64-37,30-31,45-41,49-27
7,Baltimore Orioles,93,69,0.574,4.4,4.4,0,0.3,0.3,82-80,11,43-29,23-15,16-18,07-Nov,47-34,46-35,16-Feb,29-Sep,67-51,26-18,44-43,49-26
8,Texas Rangers,93,69,0.574,5,4.4,0.6,0.1,0.8,91-71,2,24-16,28-19,27-30,14-Apr,50-31,43-38,05-Aug,24-22,65-50,28-19,43-43,50-26
9,Tampa Bay Rays,90,72,0.556,4.3,3.6,0.7,0.2,0.9,95-67,-5,41-31,16-18,24-14,09-Sep,46-35,44-37,07-May,21-27,63-49,27-23,45-42,45-30
10,Los Angeles Angels of Anaheim,89,73,0.549,4.7,4.3,0.4,0.2,0.7,88-74,1,22-20,25-20,30-27,06-Dec,46-35,43-38,04-Mar,18-18,62-51,27-22,49-47,40-26
11,Detroit Tigers,88,74,0.543,4.5,4.1,0.3,0,0.4,87-75,1,21-18,43-29,13-20,07-Nov,50-31,38-43,05-Apr,21-27,62-49,26-25,40-34,48-40
12,St. Louis Cardinals,88,74,0.543,4.7,4,0.7,-0.3,0.4,93-69,-5,14-20,45-32,21-15,07-Aug,50-31,38-43,12-Jun,21-26,57-57,31-17,39-40,49-34
13,Los Angeles Dodgers,86,76,0.531,3.9,3.7,0.2,-0.1,0.1,86-76,0,20-Dec,25-18,35-37,09-Jun,45-36,41-40,07-Aug,29-27,50-50,36-26,41-50,45-26
14,Chicago White Sox,85,77,0.525,4.6,4.2,0.4,0,0.4,88-74,-3,19-21,37-35,20-Dec,09-Sep,45-36,40-41,09-May,26-21,62-53,23-24,33-39,52-38
15,Milwaukee Brewers,83,79,0.512,4.8,4.5,0.3,-0.3,0,85-77,-2,15-19,45-34,17-17,09-Jun,49-32,34-47,11-Jul,24-32,57-58,26-21,32-41,51-38
16,Arizona Diamondbacks,81,81,0.5,4.5,4.2,0.3,-0.2,0.1,86-76,-5,14-20,20-21,38-34,06-Sep,41-40,40-41,04-Mar,15-27,49-50,32-31,38-45,43-36
17,Philadelphia Phillies,81,81,0.5,4.2,4.2,0,-0.1,-0.1,81-81,0,33-39,24-16,19-16,10-May,40-41,41-40,10-Jul,25-27,58-51,23-30,39-43,42-38
18,Pittsburgh Pirates,79,83,0.488,4,4.2,-0.1,-0.2,-0.4,78-84,1,17-14,39-42,13-19,08-Oct,45-36,34-47,02-Apr,28-29,57-64,22-19,41-55,38-28
19,San Diego Padres,76,86,0.469,4,4.4,-0.4,-0.1,-0.5,75-87,1,20-Dec,22-21,34-38,07-Aug,42-39,34-47,06-Apr,26-21,52-55,24-31,44-61,32-25
20,Seattle Mariners,75,87,0.463,3.8,4,-0.2,0.3,0.1,77-85,-2,18-28,25-16,24-33,10-Aug,40-41,35-46,10-May,25-28,50-55,25-32,42-67,33-20
21,New York Mets,74,88,0.457,4,4.4,-0.4,0,-0.4,75-87,-1,32-40,17-22,17-19,07-Aug,36-45,38-43,07-Mar,20-22,53-50,21-38,46-62,28-26
22,Toronto Blue Jays,73,89,0.451,4.4,4.8,-0.4,0.3,-0.1,74-88,-1,29-43,21-16,14-21,09-Sep,41-40,32-49,06-Jul,15-25,52-62,21-27,40-68,33-21
