Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
21,Toronto Blue Jays,73,89,0.451,4.4,5.1,-0.8,0,-0.7,69-93,4,30-46,18-15,21-Dec,13-Jul,40-41,33-48,06-Oct,23-17,58-51,15-38,31-60,42-29
22,San Francisco Giants,73,89,0.451,3.7,4.3,-0.6,0.3,-0.3,70-92,3,16-17,22-Nov,38-38,12-Aug,42-39,31-50,10-Nov,26-30,44-54,29-35,47-63,26-26
23,Cincinnati Reds,67,95,0.414,4.3,5.1,-0.8,0.2,-0.6,69-93,-2,13-21,26-50,18-14,10-Oct,37-44,30-51,12-Jul,29-Oct,45-69,22-26,44-71,23-24
24,Texas Rangers,67,95,0.414,4.5,5.2,-0.7,0.1,-0.6,71-91,-4,21-Dec,18-15,28-48,11-Sep,34-47,33-48,07-Jul,19-Dec,45-60,22-35,33-61,34-34
25,San Diego Padres,66,96,0.407,3.8,4.7,-0.9,0.3,-0.7,65-97,1,15-17,16-18,28-48,13-Jul,31-50,35-46,11-May,22-21,47-59,19-37,42-66,24-30
26,Detroit Tigers,64,98,0.395,3.9,4.9,-1,-0.2,-1.2,64-98,0,15-17,33-43,24-Oct,14-Jun,38-43,26-55,05-May,22-30,45-74,19-24,21-53,43-45
27,Miami Marlins,63,98,0.391,3.7,5,-1.4,0.2,-1.2,58-103,5,26-50,13-19,15-18,11-Sep,38-43,25-55,06-Sep,19-21,51-72,26-Dec,34-62,29-36
28,Chicago White Sox,62,100,0.383,4,5.2,-1.2,-0.2,-1.4,62-100,0,16-16,30-46,24-Oct,14-Jun,30-51,32-49,05-May,15-25,47-75,15-25,24-51,38-49
29,Kansas City Royals,58,104,0.358,3.9,5.1,-1.2,-0.2,-1.4,62-100,-4,24-Sep,36-40,26-Jul,14-Jun,32-49,26-55,08-May,19-30,39-74,19-30,18-56,40-48
30,Baltimore Orioles,47,115,0.29,3.8,5.5,-1.7,0.1,-1.5,55-107,-8,23-53,23-Oct,26-Jul,13-Jul,28-53,19-62,09-Apr,29-Dec,26-82,21-33,26-67,21-48
,Average,81,81,0.5,4.5,4.5,,,,81-80,,23-23,24-22,22-24,10-Oct,42-38,38-42,07-Jul,22-22,57-55,23-25,37-49,43-31
