Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Boston Red Sox,108,54,0.667,5.4,4,1.4,-0.2,1.2,103-59,5,52-24,19-14,21-Dec,16-Apr,57-24,51-30,05-Aug,25-14,87-38,21-16,41-33,67-21
2,Houston Astros,103,59,0.636,4.9,3.3,1.6,-0.1,1.5,109-53,-6,19-15,25-Jul,46-30,13-Jul,46-35,57-24,06-May,24-24,66-36,37-23,41-38,62-21
3,New York Yankees,100,62,0.617,5.3,4.1,1.1,-0.2,0.9,99-63,1,44-32,23-Nov,22-Oct,09-Nov,53-28,47-34,05-Sep,23-17,70-47,30-15,41-30,59-32
4,Oakland Athletics,97,65,0.599,5,4.2,0.9,0,0.8,95-67,2,21-Nov,26-Aug,38-38,08-Dec,50-31,47-34,13-Jun,31-14,65-40,32-25,33-40,64-25
5,Milwaukee Brewers,96,67,0.589,4.6,4,0.6,0,0.6,91-72,5,20-13,40-37,23-Oct,13-Jul,51-30,45-37,07-Sep,33-19,72-48,24-19,49-46,47-21
6,Chicago Cubs,95,68,0.583,4.7,4,0.7,0,0.7,94-69,1,22-Nov,41-36,19-14,13-Jul,51-31,44-37,08-Nov,26-25,73-55,22-13,49-46,46-22
7,Los Angeles Dodgers,92,71,0.564,4.9,3.7,1.2,0.1,1.2,102-61,-10,19-13,16-18,45-32,08-Dec,45-37,47-34,07-Aug,22-22,52-46,40-25,51-38,41-33
8,Cleveland Indians,91,71,0.562,5,4,1,-0.4,0.6,98-64,-7,16-18,49-27,14-18,08-Dec,49-32,42-39,09-Apr,22-24,69-50,22-21,23-31,68-40
9,Colorado Rockies,91,72,0.558,4.8,4.6,0.2,0.2,0.4,85-78,6,23-Nov,14-18,41-36,13-Jul,47-34,44-38,06-May,26-15,58-45,33-27,48-44,43-28
10,Atlanta Braves,90,72,0.556,4.7,4.1,0.6,0,0.6,92-70,-2,49-27,18-14,15-19,12-Aug,43-38,47-34,08-Jun,23-Dec,69-46,21-26,38-40,52-32
11,Tampa Bay Rays,90,72,0.556,4.4,4,0.4,-0.1,0.3,89-73,1,41-35,21-Nov,21-13,13-Jul,51-30,39-42,07-May,28-31,63-52,27-20,34-39,56-33
12,Seattle Mariners,89,73,0.549,4.2,4.4,-0.2,0.1,-0.1,77-85,12,19-15,23-Sep,41-35,14-Jun,45-36,44-37,14-Jan,36-21,59-49,30-24,39-38,50-35
13,St. Louis Cardinals,88,74,0.543,4.7,4.3,0.4,0,0.4,88-74,0,16-16,41-35,20-14,09-Nov,43-38,45-36,08-Aug,22-22,61-52,27-22,50-43,38-31
14,Pittsburgh Pirates,82,79,0.509,4.3,4.3,0,0.1,0.1,80-81,2,20-Dec,43-33,21-Dec,15-May,44-36,38-43,05-Jul,29-22,61-52,21-27,39-53,43-26
15,Washington Nationals,82,80,0.506,4.8,4.2,0.5,0,0.5,90-72,-8,41-35,18-16,14-18,11-Sep,41-40,41-40,10-Apr,18-24,64-52,18-28,33-44,49-36
16,Arizona Diamondbacks,82,80,0.506,4.3,4,0.3,0.2,0.5,86-76,-4,17-17,16-16,39-37,10-Oct,40-41,42-39,09-May,20-31,54-50,28-30,42-48,40-32
17,Philadelphia Phillies,80,82,0.494,4.2,4.5,-0.3,0.1,-0.3,76-86,4,34-42,19-14,15-18,08-Dec,49-32,31-50,06-Aug,23-18,59-66,21-16,44-50,36-32
18,Los Angeles Angels,80,82,0.494,4.5,4.5,0,0.1,0.1,81-81,-1,21-Nov,22-Dec,37-39,10-Oct,42-39,38-43,07-May,26-15,58-53,22-29,35-61,45-21
19,Minnesota Twins,78,84,0.481,4.6,4.8,-0.2,-0.3,-0.5,77-85,1,18-16,42-34,22-Oct,12-Aug,49-32,29-52,08-May,15-21,57-59,21-25,29-47,49-37
20,New York Mets,77,85,0.475,4.2,4.4,-0.2,0.1,-0.1,78-84,-1,40-36,13-20,16-17,12-Aug,37-44,40-41,09-Sep,16-26,59-61,18-24,40-57,37-28
