Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Phillies,102,60,0.63,4.4,3.3,1.1,-0.1,1,103-59,-1,43-29,27-16,23-Sep,06-Sep,52-29,50-31,10-Sep,28-19,72-46,30-14,37-25,65-35
2,New York Yankees,97,65,0.599,5.4,4.1,1.3,0.1,1.4,101-61,-4,39-33,22-14,23-13,13-May,52-29,45-36,12-Apr,21-24,62-48,35-17,44-38,53-27
3,Milwaukee Brewers,96,66,0.593,4.5,3.9,0.5,-0.2,0.3,90-72,6,20-14,51-29,19-14,09-Jun,57-24,39-42,07-Jul,30-18,78-48,18-18,27-34,69-32
4,Texas Rangers,96,66,0.593,5.3,4.2,1.1,0.1,1.2,98-64,-2,22-22,25-18,40-17,09-Sep,52-29,44-37,05-Apr,19-24,70-45,26-21,35-37,61-29
5,Detroit Tigers,95,67,0.586,4.9,4.4,0.5,-0.1,0.4,89-73,6,20-16,50-22,18-18,11-Jul,50-31,45-36,03-Jun,29-17,64-47,31-20,28-23,67-44
6,Arizona Diamondbacks,94,68,0.58,4.5,4.1,0.4,-0.2,0.2,88-74,6,18-14,23-17,43-29,08-Oct,51-30,43-38,04-Sep,28-16,70-44,24-24,32-32,62-36
7,Tampa Bay Rays,91,71,0.562,4.4,3.8,0.6,0.2,0.7,91-71,0,42-30,21-17,16-18,06-Dec,47-34,44-37,05-Sep,26-18,60-52,31-19,46-38,45-33
8,St. Louis Cardinals,90,72,0.556,4.7,4.3,0.4,-0.2,0.2,88-74,2,22-13,44-35,16-17,07-Aug,45-36,45-36,13-Aug,26-23,71-52,19-20,30-30,60-42
9,Boston Red Sox,90,72,0.556,5.4,4.5,0.9,0.2,1,94-68,-4,38-34,21-16,21-14,08-Oct,45-36,45-36,05-Jun,19-19,57-50,33-22,46-38,44-34
10,Atlanta Braves,89,73,0.549,4,3.7,0.2,-0.1,0.1,85-77,4,36-36,22-17,21-15,05-Oct,47-34,42-39,14-Dec,29-26,65-50,24-23,28-32,61-41
11,Los Angeles Angels of Anaheim,86,76,0.531,4.1,3.9,0.2,0.1,0.3,85-77,1,21-23,25-18,27-30,13-May,45-36,41-40,13-Aug,27-31,54-48,32-28,32-38,54-38
12,San Francisco Giants,86,76,0.531,3.5,3.6,0,-0.1,-0.2,80-82,6,13-20,20-22,43-29,05-Oct,46-35,40-41,13-Aug,33-22,60-58,26-18,32-34,54-42
13,Los Angeles Dodgers,82,79,0.509,4,3.8,0.2,-0.2,0,84-77,-2,15-17,22-20,39-33,09-Jun,42-39,40-40,03-Aug,23-21,58-59,24-20,33-38,49-41
14,Toronto Blue Jays,81,81,0.5,4.6,4.7,-0.1,0.3,0.2,79-83,2,33-39,18-15,22-17,10-Aug,42-39,39-42,13-Apr,29-28,58-62,23-19,38-51,43-30
15,Washington Nationals,80,81,0.497,3.9,4,-0.1,-0.1,-0.2,78-83,2,36-36,20-19,16-19,07-Aug,44-36,36-45,08-Dec,27-27,61-64,19-17,35-37,45-44
16,Cleveland Indians,80,82,0.494,4.3,4.7,-0.3,0.1,-0.3,75-87,5,19-18,36-36,14-21,07-Nov,44-37,36-45,08-Jun,30-26,57-56,23-26,26-47,54-35
17,Cincinnati Reds,79,83,0.488,4.5,4.4,0.1,-0.2,-0.1,83-79,-4,13-20,42-37,18-14,12-Jun,42-39,37-44,05-Dec,29-33,62-61,17-22,36-37,43-46
18,Chicago White Sox,79,83,0.488,4,4.4,-0.3,0,-0.3,75-87,4,17-20,32-40,19-16,07-Nov,36-45,43-38,11-Jul,24-25,55-61,24-22,28-41,51-42
19,New York Mets,77,85,0.475,4.4,4.6,-0.1,0,-0.1,79-83,-2,33-39,19-20,16-17,09-Sep,34-47,43-38,07-Jul,21-28,59-63,18-22,38-44,39-41
20,Oakland Athletics,74,88,0.457,4,4.2,-0.2,0.2,0,77-85,-3,20-23,20-24,26-31,10-Aug,43-38,31-50,11-Aug,20-25,49-59,25-29,43-51,31-37
21,Colorado Rockies,73,89,0.451,4.5,4.8,-0.2,-0.1,-0.3,77-85,-4,15-18,22-20,28-44,07-Aug,38-43,35-46,08-Apr,21-27,48-66,25-23,30-58,43-31
22,Pittsburgh Pirates,72,90,0.444,3.8,4.4,-0.6,-0.2,-0.8,70-92,2,22-Dec,39-41,13-20,07-Aug,36-45,36-45,07-Jun,21-22,49-68,23-22,28-44,44-46
23,Florida Marlins,72,90,0.444,3.9,4.3,-0.5,0,-0.4,72-90,0,32-40,20-20,20-Dec,10-Aug,31-47,41-43,13-Sep,27-32,49-67,23-23,28-54,44-36
24,Kansas City Royals,71,91,0.438,4.5,4.7,-0.2,0,-0.2,78-84,-7,16-21,32-40,18-17,13-May,40-41,31-50,08-Oct,25-32,55-65,16-26,30-43,41-48
25,San Diego Padres,71,91,0.438,3.7,3.8,-0.1,-0.1,-0.2,79-83,-8,19-19,19-18,27-45,09-Jun,35-46,36-45,12-Apr,20-31,52-61,19-30,31-54,40-37
26,Chicago Cubs,71,91,0.438,4,4.7,-0.6,-0.1,-0.7,70-92,1,15-18,34-46,17-17,10-May,39-42,32-49,05-Sep,25-28,51-67,20-24,30-43,41-48
27,Baltimore Orioles,69,93,0.426,4.4,5.3,-0.9,0.3,-0.6,67-95,2,28-44,22-20,18-Dec,11-Jul,39-42,30-51,08-Aug,22-22,49-66,20-27,38-65,31-28
28,Seattle Mariners,67,95,0.414,3.4,4.2,-0.7,0.3,-0.5,67-95,0,17-26,20-24,21-36,09-Sep,39-45,28-50,05-Jun,26-28,54-67,13-28,34-57,33-38
29,Minnesota Twins,63,99,0.389,3.8,5,-1.1,0.2,-1,62-100,1,29-Oct,30-42,15-18,10-Aug,33-48,30-51,04-Jun,27-32,42-73,21-26,25-56,38-43
30,Houston Astros,56,106,0.346,3.8,4.9,-1.1,-0.1,-1.2,62-100,-6,21-Oct,28-50,14-24,11-Apr,31-50,25-56,13-May,20-28,34-80,22-26,24-56,32-50
,Average,80,80,0.5,4.3,4.3,,,,80-81,,23-25,27-25,21-21,08-Aug,42-38,38-42,07-Jul,25-25,57-58,23-22,33-42,47-38
