Year,G,AG,ARI,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CHT,CLE,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,OAK,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
1997,162,,,,101,,,,98,,,78,,,68,,80,76,,,,,,,,86,,,,,83,,,,,,,,,79,,,,,84,,,,,,,67,,84,88,,,92,,78,68,,,,,,88,96,,,,,65,,68,,,,,79,,76,90,90,73,,,,,77,,76,,78,,
1996,162,,,,96,,,,88,,,85,,,76,,85,81,,,,,,,,99,,,,,83,,,,,,,,,53,,,,,82,,,,,,,75,,70,90,,,80,,80,78,,,,,,71,92,,,,,78,,67,,,,,73,,91,68,85,88,,,,,90,,74,,88,,
1995,145,,,,90,,,,71,,,86,,,73,,68,85,,,,,,,,100,,,,,77,,,,,,,,,60,,,,,76,,,,,,,70,,78,78,,,67,,65,56,,,,,,69,79,,,,,67,,69,,,,,58,,70,67,79,62,,,,,74,,56,,66,,
1994,117,,,,68,,,,63,,,54,,,49,,67,66,,,,,,,,66,,,,,53,,,,,,,,,53,,,,,66,,,,,,,64,,47,58,,,51,,53,53,,,,,,55,70,,,,,51,,54,,,,,53,,47,55,49,53,,,,,52,,55,,74,,
1993,162,,,,104,,,,85,,,80,,,84,,94,73,,,,,,,,76,,,,,67,,,,,,,,,85,,,,,85,,,,,,,84,,71,81,,,64,,69,71,,,,,,59,88,,,,,68,,97,,,,,75,,61,103,82,87,,,,,86,,95,,94,,
1992,162,,,,98,,,,89,,,73,,,78,,86,90,,,,,,,,76,,,,,,,,,,,,,,75,,,,,81,,,,,,,72,,72,63,,,,,92,90,,,,,,72,76,,,,,96,,70,,,,,96,,82,72,64,83,,,,,77,,96,,87,,
1991,162,,,,94,,,,67,,,84,,,77,,87,74,,,,,,,,57,,,,,,,,,,,,,,84,,,,,65,,,,,,,82,,81,93,,,,,83,95,,,,,,77,71,,,,,84,,78,,,,,98,,84,75,83,84,,,,,85,,91,,71,,
1990,162,,,,65,,,,76,,,88,,,77,,94,91,,,,,,,,77,,,,,,,,,,,,,,79,,,,,75,,,,,,,75,,80,86,,,,,74,74,,,,,,91,67,,,,,103,,77,,,,,95,,75,85,77,70,,,,,83,,86,,85,,
1989,162,,,,63,,,,87,,,83,,,93,,69,75,,,,,,,,73,,,,,,,,,,,,,,59,,,,,86,,,,,,,92,,91,77,,,,,81,80,,,,,,87,74,,,,,99,,67,,,,,74,,89,92,73,86,,,,,83,,89,,81,,
1988,162,,,,54,,,,54,,,89,,,77,,71,87,,,,,,,,78,,,,,,,,,,,,,,88,,,,,82,,,,,,,84,,75,94,,,,,87,91,,,,,,100,85,,,,,104,,65,,,,,85,,83,83,68,76,,,,,70,,87,,81,,
1987,162,,,,69,,,,67,,,78,,,76,,77,84,,,,,,,,61,,,,,,,,,,,,,,98,,,,,76,,,,,,,83,,75,73,,,,,91,85,,,,,,92,89,,,,,81,,80,,,,,80,,65,90,78,95,,,,,75,,96,,91,,
1986,162,,,,72,,,,73,,,95,,,70,,72,86,,,,,,,,84,,,,,,,,,,,,,,87,,,,,96,,,,,,,76,,92,73,,,,,77,71,,,,,,108,90,,,,,76,,86,,,,,64,,74,83,67,79,,,,,87,,86,,78,,
1985,162,,,,66,,,,83,,,81,,,77,,85,89,,,,,,,,60,,,,,,,,,,,,,,84,,,,,83,,,,,,,91,,90,95,,,,,71,77,,,,,,98,97,,,,,77,,75,,,,,57,,83,62,74,101,,,,,62,,99,,84,,
1984,162,,,,80,,,,85,,,86,,,96,,74,70,,,,,,,,75,,,,,,,,,,,,,,104,,,,,80,,,,,,,84,,81,79,,,,,67,81,,,,,,90,87,,,,,77,,81,,,,,75,,92,66,74,84,,,,,69,,89,,78,,
1983,162,,,,88,,,,98,,,78,,,71,,99,74,,,,,,,,70,,,,,,,,,,,,,,92,,,,,85,,,,,,,79,,70,91,,,,,87,70,,,,,,68,91,,,,,74,,90,,,,,84,,81,79,60,79,,,,,77,,89,,82,,
1982,162,,,,89,,,,94,,,89,,,73,,87,61,,,,,,,,78,,,,,,,,,,,,,,83,,,,,77,,,,,,,90,,93,88,,,,,95,60,,,,,,65,79,,,,,68,,89,,,,,84,,81,87,76,92,,,,,64,,78,,86,,
1981,111,,,,50,,,,59,,,59,,,38,,54,66,,,,,,,,52,,,,,,,,,,,,,,60,,,,,61,,,,,,,50,,51,63,,,,,62,41,,,,,,41,59,,,,,64,,59,,,,,46,,41,56,44,59,,,,,57,,37,,60,,
1980,163,,,,81,,,,100,,,83,,,64,,70,89,,,,,,,,79,,,,,,,,,,,,,,84,,,,,93,,,,,,,97,,65,92,,,,,86,77,,,,,,67,103,,,,,83,,91,,,,,83,,73,75,59,74,,,,,76,,67,,90,,
1979,162,,,,66,,,,102,,,91,,,80,,73,90,,,,,,,,81,,,,,,,,,,,,,,85,,,,,89,,,,,,,85,,88,79,,,,,95,82,,,,,,63,89,,,,,54,,84,,,,,98,,68,71,67,86,,,,,83,,53,,95,,
1978,163,,,,69,,,,90,,,99,,,79,,71,92,,,,,,,,69,,,,,,,,,,,,,,86,,,,,74,,,,,,,92,,87,95,,,,,93,73,,,,,,66,100,,,,,69,,90,,,,,88,,84,89,56,69,,,,,87,,59,,76,,
1977,162,,,,61,,,,97,,,97,,,81,,90,88,,,,,,,,71,,,,,,,,,,,,,,74,,,,,81,,,,,,,102,,74,98,,,,,67,84,,,,,,64,100,,,,,63,,101,,,,,96,,69,75,64,83,,,,,94,,54,,75,,
1976,162,,,,70,,,,88,,,83,,,75,,64,102,,,,,,,,81,,,,,,,,,,,,,,74,,,,,80,,,,,,,90,,76,92,,,,,66,85,,,,,,86,97,,,,,87,,101,,,,,92,,73,74,,72,,,,,76,,,,55,,
1975,162,,,,67,,,,90,,,95,,,75,,75,108,,,,,,,,79,,,,,,,,,,,,,,57,,,,,64,,,,,,,91,,72,88,,,,,68,76,,,,,,82,83,,,,,98,,86,,,,,92,,71,80,,82,,,,,79,,,,75,,
1974,162,,,,88,,,,91,,,84,,,66,,80,98,,,,,,,,77,,,,,,,,,,,,,,72,,,,,81,,,,,,,77,,68,102,,,,,76,82,,,,,,71,89,,,,,90,,80,,,,,88,,60,72,,86,,,,,84,,,,79,,
1973,162,,,,76,,,,97,,,89,,,77,,77,99,,,,,,,,71,,,,,,,,,,,,,,85,,,,,82,,,,,,,88,,79,95,,,,,74,81,,,,,,82,80,,,,,94,,71,,,,,80,,60,88,,81,,,,,57,,,,79,,
1972,156,,,,70,,,,80,,,85,,,85,,87,95,,,,,,,,72,,,,,,,,,,,,,,86,,,,,84,,,,,,,76,,75,85,,,,,65,77,,,,,,83,79,,,,,93,,59,,,,,96,,58,69,,75,,,,,54,,,,70,,
1971,162,,,,82,,,,101,,,85,,,83,,79,79,,,,,,,,60,,,,,,,,,,,,,,91,,,,,79,,,,,,,85,,76,89,,,,,69,74,,,,,,83,82,,,,,101,,67,,,,,97,,61,90,,90,,,,,63,,,,71,,
1970,162,,,,76,,,,108,,,87,,,84,,56,102,,,,,,,,76,,,,,,,,,,,,,,79,,,,,79,,,,,,,65,,86,87,,,,,65,98,,,,,,83,93,,,,,89,,73,,,,,89,,63,86,,76,,,,,70,,,,73,,
1969,162,,,,93,,,,109,,,87,,,92,,68,89,,,,,,,,62,,,,,,,,,,,,,,90,,,,,81,,,,,,,69,,71,85,,,,,64,97,,,,,,100,80,,,,,88,,63,,,,,88,,52,90,,87,,,,,86,,,,52,,
1968,162,,,,81,,,,91,,,86,,,84,,67,83,,,,,,,,86,,,,,,,,,,,,,,103,,,,,72,,,,,,,,,67,76,,,,,,79,,,,,,73,83,,,,,82,,76,,,,,80,,,88,,97,,,,,65,,,,,,
1967,162,,,,77,,,,76,,,92,,,87,,89,87,,,,,,,,75,,,,,,,,,,,,,,91,,,,,69,,,,,,,,,84,73,,,,,,91,,,,,,61,72,,,,,62,,82,,,,,81,,,91,,101,,,,,76,,,,,,
1966,162,,,,85,,,,97,,,72,,,59,,83,76,,,,,,,,81,,,,,,,,,,,,,,88,,,,,72,,,,,,,,,80,95,,,,,,89,,,,,,66,70,,,,,74,,87,,,,,92,,,93,,83,,,,,71,,,,,,
1965,162,,,,86,,,,94,,,62,,,72,,95,89,,,,,,,,87,,,,,,,,,,,,,,89,,,,,65,,,,,,,,,75,97,,,,,,102,,,,,,50,77,,,,,59,,85,,,,,90,,,95,,80,,,,,70,,,,,,
1964,162,,,,88,,,,97,,,72,,,76,,98,92,,,,,,,,79,,,,,,,,,,,,,,85,,,,,66,,,,,,,,,82,80,,,,,,79,,,,,,53,99,,,,,57,,92,,,,,80,,,90,,93,,,,,62,,,,,,
1963,162,,,,84,,,,86,,,76,,,82,,94,86,,,,,,,,79,,,,,,,,,,,,,,79,,,,,66,,,,,,,,,70,99,,,,,,91,,,,,,51,104,,,,,73,,87,,,,,74,,,88,,93,,,,,56,,,,,,
1962,165,,,,86,,,,77,,,76,,,59,,85,98,,,,,,,,80,,,,,,,,,,,,,,85,,,,,64,,,,,,,,,86,102,,,,,,91,,,,,,40,96,,,,,72,,81,,,,,93,,,103,,84,,,,,60,,,,,,
1961,162,,,,83,,,,95,,,76,,,64,,86,93,,,,,,,,78,,,,,,,,,,,,,,101,,,,,,,,,,,,,,70,89,,,,,,70,,,,,,,109,,,,,61,,47,,,,,75,,,85,,80,,,,,61,,,,,,
1960,154,,,,88,,,,89,,,65,,,60,,87,67,,,,,,,,76,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,82,,,,,,73,,,,,,,97,,,,,58,,59,,,,,95,,,79,,86,,,,,,,,,,,
1959,156,,,,86,,,,74,,,75,,,74,,94,74,,,,,,,,89,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,88,,,,,,63,,,,,,,79,,,,,66,,64,,,,,78,,,83,,71,,,,,,,,,,,
1958,154,,,,92,,,,74,,,79,,,72,,82,76,,,,,,,,77,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,71,,,,,,61,,,,,,,92,,,,,73,,69,,,,,84,,,80,,72,,,,,,,,,,,
1957,154,,,,95,,,,76,,,82,,,62,,90,80,,,,,,,,76,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,84,,,,,,55,,,,,,,98,,,,,59,,77,,,,,62,,,69,,87,,,,,,,,,,,
1956,154,,,,92,,,,69,,,84,,,60,,85,91,,,,,,,,88,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,93,,,,,,59,,,,,,,97,,,,,52,,71,,,,,66,,,67,,76,,,,,,,,,,,
1955,154,,,,85,,,,57,,,84,,,72,,91,75,,,,,,,,93,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,98,,,,,,53,,,,,,,96,,,,,63,,77,,,,,60,,,80,,68,,,,,,,,,,,
1954,154,,,,89,,,,54,,,69,,,64,,94,74,,,,,,,,111,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,92,,,,,,66,,,,,,,103,,,,,51,,75,,,,,53,,,97,,72,,,,,,,,,,,
1953,154,,,,92,,,,54,,,84,,,65,,89,68,,,,,,,,92,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,105,,,,,,76,,,,,,,99,,,,,59,,83,,,,,50,,,70,,83,,,,,,,,,,,
1952,154,,,,64,,,,64,,,76,,,77,,81,69,,,,,,,,93,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,96,,,,,,78,,,,,,,95,,,,,79,,87,,,,,42,,,92,,88,,,,,,,,,,,
1951,157,,,,76,,,,52,,,87,,,62,,81,68,,,,,,,,93,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,97,,,,,,62,,,,,,,98,,,,,70,,73,,,,,64,,,98,,81,,,,,,,,,,,
1950,154,,,,83,,,,58,,,94,,,64,,60,66,,,,,,,,92,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,89,,,,,,67,,,,,,,98,,,,,52,,91,,,,,57,,,86,,78,,,,,,,,,,,
1949,154,,,,75,,,,53,,,96,,,61,,63,62,,,,,,,,89,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,97,,,,,,50,,,,,,,97,,,,,81,,81,,,,,71,,,73,,96,,,,,,,,,,,
1948,155,,,,91,,,49,59,,46,96,,27,64,,51,64,,,41,,,,,97,,,,,,,,,,,,,,78,,,,44,,,,,32,,60,,,,84,,28,,,,56,,,9,17,,,94,,,29,,84,,66,28,,,,83,,,78,,85,,,,,,,,,,,
1947,154,,,,86,,,41,59,,40,83,,21,69,,70,73,,,42,,,,,80,,,,,,,,,,,,,,85,,,,35,,,,,31,,52,,,,94,,30,,,,64,,,10,43,,,97,,,50,,78,,62,27,,,,62,,,81,,89,,,,,,,,,,,
1946,156,,,,81,,,39,66,,31,104,,31,82,,74,67,,,31,,,,,68,,,,,,,,,,,,,,92,,,,36,,,,,31,,50,,,,96,,34,,,,76,,,12,34,,,87,,,50,,49,,69,32,,,,63,,,61,,98,,,,,,,,,,,
1945,154,,,,67,,,32,81,,37,71,,44,98,,71,61,,,59,,,,,73,,,,,,,,,,,,,,88,,,,37,,,,,31,,43,,,,87,,18,,,,87,,,11,14,,,81,,,26,,52,,46,25,,,,82,,,78,,95,,,,,,,,,,,
1944,154,,,,65,,,34,89,,33,77,,24,75,,71,89,,,32,,,,,72,,,,,,,,,,,,,,88,,,,47,,,,,46,,30,,,,63,,37,,,,64,,,8,28,,,83,,,27,,72,,61,31,,,,90,,,67,,105,,,,,,,,,,,
1943,154,,,,68,,,18,72,,46,68,,35,74,,82,87,,,38,,,,,82,,,,,,,,,,,,,,78,,,,53,,,,,31,,43,,,,81,,30,,,,84,,,4,19,,,98,,,26,,49,,64,21,,,,80,,,55,,105,,,8,,,,,,,,
1942,154,,,,59,,,36,82,,27,93,,7,68,,66,76,,,39,,,,,75,,,,,,,,,,,,,,73,,,,47,,,,,,7,27,,,,104,,21,,,,62,,,10,9,,,103,,,28,,55,,42,26,,,,66,,,85,,106,,,,,,,,,,,
1941,154,,,,62,,,34,70,,24,84,,12,70,,77,88,,,,,,,,75,,,,,,,,,,,,,,75,,,,51,,,,,,12,25,,,,100,,15,,,,70,,,16,21,,,101,,,27,,64,,43,15,,,,81,,,74,,97,,,16,,,,,,,,
1940,154,,,,65,,,32,67,,11,82,,20,75,,82,100,,,,,,,,89,,,,,,,,,,,,,,90,,,,34,,,,,,16,30,,,,88,,25,,,,64,,,12,12,,,88,,,26,,54,,50,25,,6,,78,,,72,,84,,,20,,,,,,,,
1939,154,,,6,63,,,20,43,,,89,,40,84,,85,97,,,,,,,,87,,,,,,,,,,,,,,81,,,,36,,,,,,20,46,,,,84,,19,,,,65,,,19,7,,,106,,,33,,55,,45,24,,4,,68,,,77,,92,,,15,,,,,,,,
1938,154,,,32,77,,,26,55,,13,88,,39,89,,65,82,,,,,,,,86,,,,,,,,,,,,,,84,,,,41,,,,,,14,45,,,,69,,39,,,,75,,,11,,,,99,,,23,,53,,45,41,,28,,86,,,83,,71,,,17,,,,,2,,,
1937,154,,,,79,,,24,46,,16,80,,36,93,,86,56,35,,,,,,,83,,,,,,,,,,,,,15,89,,,,45,,,,17,,,52,,,,62,,15,,,,73,,,22,,,,102,,,36,,54,,61,29,,18,,86,,,95,,81,,5,,,,,,,,,
1936,154,,,,71,,,29,57,,,74,,,87,,81,74,,,,,,,,80,,,,,,,,,,,,,,83,,,,27,,,,,,,,,,,67,,,,,,82,,,21,22,,,102,,,27,,53,,54,32,,48,,84,,,92,,87,,,,,,,,,,,
1935,154,,,,38,,,29,65,,,78,,24,100,,74,68,,,,,,,,82,,,,,,,,,,,,,,93,,,,26,,,,,,,,,,,70,,,,,,67,,,,31,,,89,,18,32,,58,,64,37,,51,,86,,,91,,96,,,,,,,,,,,
1934,154,,,,78,,3,18,67,,,76,,28,86,,53,52,,,,,,,,85,3,,,,,,,,,,,,,101,,,,,,,,,,,,,,,71,,,,,,66,,,,,,,94,,17,,,68,5,56,36,,47,,74,,,93,,95,,,,,,,,,,,
1933,154,3,,,83,,13,19,55,,,63,,41,86,,67,58,,,,,,0,,75,,,,,,15,,,,,,,,75,,,,14,,,17,,,,,,,,65,,,,,,99,,,,,,,91,,,,,79,,60,,,41,,87,,,91,,82,,,,,,,,,,,
1932,154,,,6,77,,29,24,63,,10,43,,34,90,,49,60,,,,,,,,87,,5,,,,,,3,,,,,,76,26,,11,24,,,18,,,,,,5,,81,12,23,,,,93,34,23,,,,,107,0,,,,94,,78,,,,,86,10,,72,,72,,,,,,,,,,17,
1931,154,,,,64,,,,63,,,62,,6,84,,56,58,,,,23,,,,78,,,,,,,,,,,,25,,61,,,,,,,30,,,,,,,,79,24,,,,,92,,,,,,,94,,,,,107,,66,,,,,75,,,87,,101,37,,,,,,,,,,
1930,154,,,,70,,,26,64,,46,52,,53,90,,62,59,,,,,,,,81,,,,,,,,,,25,,52,,75,,,,,,,,,,,40,,,,86,16,30,,,,94,,,,,,,86,,,,,102,,52,,,,,80,,,87,,92,69,,,,,,,,,,
1929,154,,,,56,21,55,,79,,33,58,,51,98,,59,66,,,,,,,,81,,,,,,,,,15,17,,39,,70,,,43,32,,,,,,,63,,,,70,,21,,,,71,,,,,40,,88,,,,,104,,71,,,,,88,,,84,,78,56,,,,,,,,,,
1928,154,,,,50,18,19,,82,,46,57,,55,91,,72,78,,,,,,,,62,,,,20,,,,,6,13,,53,,68,,,,,,,,,,,50,,,,77,,33,,,,75,,,,,9,,101,,,,,98,,43,,2,,,85,,,93,,95,63,,,,,,,,,,
1927,154,,,,60,55,34,,59,,53,51,11,61,85,,70,75,,,,,,,13,66,,,,,,,,,31,23,,52,,82,,38,38,,,,,,,,55,,,,65,,25,,,,85,,,,,10,,110,,,,,91,,51,,,,,94,,,92,,92,62,,,,,,,,,,
1926,154,,,,66,43,22,,62,,,46,11,57,82,,81,87,,,,,8,,,88,,,,,,,,,29,19,6,52,,79,,27,53,,,40,,,,,60,,,,71,,,,,,81,,,,,22,,91,,,,1,83,,58,,,,,84,,,74,,89,61,,,,,,,,,,
1925,154,,,,70,36,33,,82,,27,47,14,57,68,,79,80,,,,,,,,70,,,,,,,,,18,20,,56,,81,,48,53,,,17,,,,,59,,,,68,,34,,,,96,,,,,7,,69,,,,,88,,68,,,,,95,,,86,,77,59,,,,,,,,,,10
1924,154,,,,53,35,38,,74,,37,67,15,52,81,,66,83,,15,,,,,,67,,,,,,,,,15,18,,35,,86,,30,47,,,5,,,,,57,,,,92,,24,,,,92,,,,,35,,89,,,,,71,,55,,,,,90,,,93,,65,43,,,,,,,,,,21
1923,154,,,,54,23,19,,74,,,61,16,39,83,,69,91,,,,,,,,82,,,,,,,,,22,24,,39,,83,,,37,,,44,,,,,54,,,,76,,,,11,,75,,,,,17,,98,,,,,69,,50,,,,,87,,,95,,79,29,,,,,10,,,,,
1922,154,,,,53,,,,93,,,61,,37,80,,77,86,,,,,,,,78,,,15,,,,,,,18,,42,,79,,,,,,50,,,,,47,,,,76,,,,,,69,,,,,,,94,,,,,65,,57,,,,14,85,,,93,,85,26,,,,,,,,,,
1921,154,,,,79,,,,81,,,75,,44,64,10,62,70,,,,,,,,94,,,,,,,30,,,29,,30,,71,,,,,,37,,,,,54,,,,77,,,,,,80,,,,,,,98,,,,,53,,51,,,,,90,,,94,,87,43,,,,,,,,,,
1920,154,,,,62,,,,76,,,72,,43,75,5,96,82,,,,,,,,98,,,,,,,,,,35,16,37,,61,,,,,,44,,,,,44,,,,93,,,,,,68,,,,,,,95,,,,,48,,62,,,,,79,,,86,,75,32,,,,,,,,,,
1919,140,,,,57,,,,67,,,66,,,75,,88,96,,,,,,,,84,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,69,,,,,,56,,,,,,,80,,,,,36,,47,,,,,71,,,87,,54,,,,,,,,,,,
1918,129,,,,53,,,,58,,,75,,,84,,57,68,,,,,,,,73,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,57,,,,,,72,,,,,,,60,,,,,52,,55,,,,,65,,,71,,51,,,,,,,,,,,
1917,154,,,,72,,,,57,,,90,,,74,,100,78,,,,,,,,88,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,70,,,,,,74,,,,,,,71,,,,,55,,87,,,,,51,,,98,,82,,,,,,,,,,,
