Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Boston Red Sox,97,65,0.599,5.3,4,1.2,0.1,1.3,100-62,-3,44-32,19-15,20-Dec,14-Jun,53-28,44-37,06-Oct,21-21,65-43,32-22,53-43,44-22
2,St. Louis Cardinals,97,65,0.599,4.8,3.7,1.2,-0.1,1,101-61,-4,23-Oct,46-30,18-15,10-Oct,54-27,43-38,06-Jun,20-16,78-42,19-23,39-36,58-29
3,Oakland Athletics,96,66,0.593,4.7,3.9,0.9,0,0.8,96-66,0,17-15,22-Dec,44-32,13-Jul,52-29,44-37,06-Jul,30-20,64-44,32-22,40-34,56-32
4,Atlanta Braves,96,66,0.593,4.2,3.4,0.9,-0.3,0.6,98-64,-2,47-29,19-14,19-14,09-Nov,56-25,40-41,05-Dec,27-20,71-50,25-16,39-24,57-42
5,Pittsburgh Pirates,94,68,0.58,3.9,3.6,0.4,0,0.3,88-74,6,20-14,45-31,14-18,15-May,50-31,44-37,09-Sep,29-23,76-55,18-13,40-34,54-34
6,Detroit Tigers,93,69,0.574,4.9,3.9,1.1,0,1,99-63,-6,17-15,47-29,17-17,08-Dec,51-30,42-39,13-Jun,20-26,66-46,27-23,48-40,45-29
7,Los Angeles Dodgers,92,70,0.568,4,3.6,0.4,-0.2,0.2,89-73,3,22-Nov,21-Dec,37-39,08-Dec,47-34,45-36,05-Oct,25-21,66-43,26-27,34-31,58-39
8,Cleveland Indians,92,70,0.568,4.6,4.1,0.5,0,0.5,90-72,2,21-Dec,44-32,25-Aug,09-Nov,51-30,41-40,02-Oct,30-17,56-50,36-20,36-52,56-18
9,Tampa Bay Rays,92,71,0.564,4.3,4,0.3,0.1,0.5,87-76,5,43-33,19-14,18-16,08-Dec,51-30,41-41,07-Sep,26-21,62-48,30-23,48-49,44-22
10,Texas Rangers,91,72,0.558,4.5,3.9,0.6,0,0.6,92-71,-1,15-20,13-19,53-23,10-Oct,46-36,45-36,09-Mar,27-20,59-53,32-19,38-41,53-31
11,Cincinnati Reds,90,72,0.556,4.3,3.6,0.7,-0.1,0.6,93-69,-3,20-13,40-36,19-14,09-Nov,49-31,41-41,13-Sep,27-22,63-47,27-25,35-42,55-30
12,Washington Nationals,86,76,0.531,4,3.9,0.2,-0.2,0,84-78,2,43-33,15-19,17-15,09-Nov,47-34,39-42,08-Jul,28-24,60-56,26-20,24-41,62-35
13,Kansas City Royals,86,76,0.531,4,3.7,0.3,0.1,0.4,87-75,-1,19-15,44-32,14-18,11-Sep,44-37,42-39,04-Nov,31-25,62-52,24-24,44-45,42-31
14,Baltimore Orioles,85,77,0.525,4.6,4.4,0.2,0.2,0.4,85-77,0,36-40,17-16,21-Dec,09-Nov,46-35,39-42,07-Aug,20-31,58-51,27-26,51-50,34-27
15,New York Yankees,85,77,0.525,4,4.1,-0.1,0.2,0.1,79-83,6,37-39,22-Nov,17-16,11-Sep,46-35,39-42,06-Jun,30-16,53-54,32-23,45-52,40-25
16,Arizona Diamondbacks,81,81,0.5,4.2,4.3,-0.1,-0.1,-0.2,80-82,1,14-18,20-14,36-40,09-Nov,45-36,36-45,17-Aug,34-21,56-58,25-23,34-34,47-47
17,Los Angeles Angels of Anaheim,78,84,0.481,4.5,4.5,0,0.1,0,81-81,-3,18-16,18-14,32-44,10-Oct,39-42,39-42,08-Aug,24-28,60-58,18-26,42-55,36-29
18,San Diego Padres,76,86,0.469,3.8,4.3,-0.5,-0.1,-0.6,72-90,4,16-17,17-16,35-41,12-Aug,45-36,31-50,07-Aug,28-24,49-59,27-27,40-43,36-43
19,San Francisco Giants,76,86,0.469,3.9,4.3,-0.4,-0.1,-0.5,74-88,2,15-17,23-Nov,44-32,14-Jun,42-40,34-46,10-Aug,28-28,52-55,24-31,41-46,35-40
20,New York Mets,74,88,0.457,3.8,4.2,-0.4,-0.2,-0.6,74-88,0,34-42,21-Dec,17-16,09-Nov,33-48,41-40,12-Aug,29-28,49-62,25-26,33-51,41-37
21,Milwaukee Brewers,74,88,0.457,4,4.2,-0.3,0,-0.3,76-86,-2,21-Dec,34-42,13-20,14-Jun,37-44,37-44,07-Jun,18-25,58-60,16-28,34-56,40-32
22,Toronto Blue Jays,74,88,0.457,4.4,4.7,-0.3,0.2,0,77-85,-3,30-46,16-16,17-17,09-Nov,40-41,34-47,09-Aug,20-29,55-64,19-24,51-68,23-20
23,Colorado Rockies,74,88,0.457,4.4,4.7,-0.3,-0.1,-0.5,76-86,-2,13-22,18-13,38-38,15-May,45-36,29-52,09-Jun,25-26,54-55,20-33,36-48,38-40
24,Philadelphia Phillies,73,89,0.451,3.8,4.6,-0.9,-0.1,-0.9,66-96,7,37-39,21-Dec,17-16,13-Jul,43-38,30-51,07-Jun,28-28,52-68,21-21,33-53,40-36
25,Seattle Mariners,71,91,0.438,3.9,4.7,-0.8,0.1,-0.7,67-95,4,14-18,13-21,36-40,12-Aug,36-45,35-46,15-Jun,19-29,49-62,22-29,40-55,31-36
26,Minnesota Twins,66,96,0.407,3.8,4.9,-1.1,0.2,-0.9,63-99,3,23-Oct,29-47,19-14,12-Aug,32-49,34-47,07-Sep,24-25,50-75,16-21,33-71,33-25
27,Chicago Cubs,66,96,0.407,3.7,4.3,-0.5,0,-0.5,71-91,-5,14-18,25-51,14-20,13-Jul,31-50,35-46,06-Jul,20-33,44-74,22-22,30-60,36-36
28,Chicago White Sox,63,99,0.389,3.7,4.5,-0.8,0.1,-0.6,67-95,-4,14-19,26-50,15-18,12-Aug,37-44,26-55,15-Aug,24-36,50-74,13-25,36-66,27-33
29,Miami Marlins,62,100,0.383,3.2,4,-0.8,-0.1,-0.9,64-98,-2,29-47,23-Sep,15-19,11-Sep,36-45,26-55,13-Jul,24-35,40-71,22-29,26-57,36-43
30,Houston Astros,51,111,0.315,3.8,5.2,-1.5,0.2,-1.2,57-105,-6,24-Sep,24-Sep,25-51,12-Aug,24-57,27-54,08-Apr,18-36,38-78,13-33,18-76,33-35
,Average,81,81,0.5,4.2,4.2,,,,81-80,,23-23,23-23,24-23,10-Oct,43-37,37-43,08-Aug,25-25,57-56,23-24,38-48,43-32
