Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago Cubs,103,58,0.64,5,3.4,1.6,-0.2,1.3,107-54,-4,19-14,50-25,19-14,15-May,57-24,46-34,04-Sep,22-23,75-41,28-17,31-25,72-33
2,Washington Nationals,95,67,0.586,4.7,3.8,0.9,-0.3,0.6,97-65,-2,51-25,17-16,15-18,08-Dec,50-31,45-36,08-May,26-19,75-53,20-14,31-29,64-38
3,Texas Rangers,95,67,0.586,4.7,4.7,0,0.1,0.2,82-80,13,16-17,19-14,47-29,13-Jul,53-28,42-39,06-Jun,Nov-36,73-48,22-19,60-31,35-36
4,Cleveland Indians,94,67,0.584,4.8,4.2,0.6,0,0.6,91-70,3,14-18,49-26,18-16,13-Jul,53-28,41-39,06-Jun,28-21,63-47,31-20,48-43,46-24
5,Boston Red Sox,93,69,0.574,5.4,4.3,1.1,0.1,1.3,98-64,-5,43-33,15-18,21-Dec,14-Jun,47-34,46-35,04-Jul,20-24,73-52,20-17,55-48,38-21
6,Los Angeles Dodgers,91,71,0.562,4.5,3.9,0.5,-0.2,0.4,90-72,1,19-13,19-15,43-33,10-Oct,53-28,38-43,08-Jun,22-20,69-47,22-24,31-26,60-45
7,Toronto Blue Jays,89,73,0.549,4.7,4.1,0.6,0.2,0.8,91-71,-2,40-36,18-15,18-15,13-Jul,46-35,43-38,09-Apr,21-25,65-53,24-20,58-45,31-28
8,Baltimore Orioles,89,73,0.549,4.6,4.4,0.2,0.3,0.4,84-78,5,40-36,23-Sep,22-Dec,14-Jun,50-31,39-42,02-Jun,21-16,66-50,23-23,53-54,36-19
9,San Francisco Giants,87,75,0.537,4.4,3.9,0.5,-0.2,0.3,90-72,-3,17-16,17-16,45-31,12-Aug,45-36,42-39,07-Nov,28-27,57-53,30-22,27-33,60-42
10,New York Mets,87,75,0.537,4.1,3.8,0.3,-0.3,0.1,87-75,0,40-36,22-Oct,13-21,08-Dec,44-37,43-38,05-Aug,25-22,68-57,19-18,30-30,57-45
11,Detroit Tigers,86,75,0.534,4.7,4.5,0.2,0,0.2,83-78,3,19-15,38-37,16-16,13-Jul,45-35,41-40,04-May,26-17,62-53,24-22,37-52,49-23
12,St. Louis Cardinals,86,76,0.531,4.8,4.4,0.4,-0.1,0.3,88-74,-2,17-16,42-34,19-14,12-Aug,38-43,48-33,03-Apr,24-23,66-52,20-24,24-35,62-41
13,Seattle Mariners,86,76,0.531,4.7,4.4,0.4,0.1,0.5,87-75,-1,19-13,16-18,38-38,13-Jul,44-37,42-39,08-Sep,30-30,62-42,24-34,44-47,42-29
14,Houston Astros,84,78,0.518,4.5,4.3,0.1,0.1,0.3,83-79,1,15-18,17-16,41-35,09-Nov,43-38,41-40,08-Oct,28-25,57-52,27-26,39-53,45-25
15,New York Yankees,84,78,0.518,4.2,4.3,-0.1,0.3,0.1,79-83,5,35-41,21-Dec,20-13,12-Aug,48-33,36-45,03-Apr,24-Dec,59-52,25-26,52-54,32-24
16,Kansas City Royals,81,81,0.5,4.2,4.4,-0.2,0.1,-0.2,77-85,4,15-17,46-30,24-Oct,10-Oct,47-34,34-47,03-Jul,23-25,60-59,21-22,40-55,41-26
17,Miami Marlins,79,82,0.491,4.1,4.2,-0.2,-0.2,-0.4,78-83,1,32-43,21-13,20-Dec,14-Jun,40-40,39-42,07-Apr,22-24,57-70,22-Dec,32-43,47-39
18,Pittsburgh Pirates,78,83,0.484,4.5,4.7,-0.2,-0.1,-0.2,78-83,0,14-19,33-42,22-Nov,11-Sep,38-42,40-41,05-Aug,20-21,58-74,20-Sep,32-45,46-38
19,Chicago White Sox,78,84,0.481,4.2,4.4,-0.2,0.1,-0.1,78-84,0,19-14,32-44,18-15,11-Sep,45-36,33-48,07-Aug,23-29,58-66,20-18,51-61,27-23
20,Colorado Rockies,75,87,0.463,5.2,5.3,-0.1,-0.1,-0.2,80-82,-5,20-14,21-Nov,35-41,11-Sep,42-39,33-48,06-Mar,20-Dec,56-58,19-29,40-40,35-47
21,Los Angeles Angels,74,88,0.457,4.4,4.5,-0.1,0.2,0.1,80-82,-6,13-21,17-15,35-41,11-Sep,40-41,34-47,0-4,17-20,53-66,21-22,46-68,28-20
22,Milwaukee Brewers,73,89,0.451,4.1,4.5,-0.4,-0.1,-0.5,74-88,-1,16-17,31-45,15-18,09-Nov,41-40,32-49,09-Apr,23-28,43-70,30-19,27-46,46-43
23,Philadelphia Phillies,71,91,0.438,3.8,4.9,-1.1,-0.1,-1.3,62-100,9,30-46,21-Dec,18-15,09-Nov,37-44,34-47,06-Jul,28-23,54-74,17-17,27-49,44-42
24,Arizona Diamondbacks,69,93,0.426,4.6,5.5,-0.9,0,-0.9,69-93,0,18-15,13-20,33-43,15-May,33-48,36-45,08-Aug,22-17,46-71,23-22,30-52,39-41
25,Oakland Athletics,69,93,0.426,4,4.7,-0.7,0.2,-0.5,70-92,-1,16-17,17-16,29-47,13-Jul,34-47,35-46,05-Jun,25-28,53-67,16-26,49-64,20-29
26,Atlanta Braves,68,93,0.422,4,4.8,-0.8,-0.1,-0.9,67-94,1,36-39,13-20,22-Nov,12-Aug,31-50,37-43,11-Nov,21-22,52-62,16-31,27-49,41-44
27,Tampa Bay Rays,68,94,0.42,4.1,4.4,-0.3,0.3,0,77-85,-9,32-44,23-Nov,15-17,10-Oct,36-45,32-49,03-Apr,13-27,50-68,18-26,47-74,21-20
28,Cincinnati Reds,68,94,0.42,4.4,5.3,-0.9,0,-0.8,68-94,0,14-19,33-43,16-17,15-May,38-43,30-51,10-Mar,22-27,54-74,14-20,24-54,44-40
29,San Diego Padres,68,94,0.42,4.2,4.8,-0.5,-0.1,-0.6,72-90,-4,14-19,14-19,34-42,14-Jun,39-42,29-52,06-Jun,19-31,47-72,21-22,32-50,36-44
