Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Philadelphia Phillies,97,65,0.599,4.8,4,0.8,0,0.8,95-67,2,44-28,21-19,22-Oct,08-Oct,54-30,43-35,06-Nov,29-17,69-45,28-20,40-28,57-37
2,Tampa Bay Rays,96,66,0.593,5,4,0.9,0.1,1.1,96-66,0,42-30,26-13,21-Dec,11-Jul,49-32,47-34,05-Oct,29-27,60-46,36-20,57-40,39-26
3,New York Yankees,95,67,0.586,5.3,4.3,1,0.1,1.1,97-65,-2,38-34,23-13,23-13,07-Nov,52-29,43-38,07-Jul,20-19,64-40,31-27,51-44,44-23
4,Minnesota Twins,94,68,0.58,4.8,4.1,0.7,0,0.7,92-70,2,15-21,47-25,24-Dec,10-Aug,53-28,41-40,05-Sep,31-23,62-44,32-24,50-42,44-26
5,San Francisco Giants,92,70,0.568,4.3,3.6,0.7,-0.1,0.6,94-68,-2,19-14,28-14,38-34,08-Jul,49-32,43-38,08-Nov,28-24,68-50,24-20,33-41,59-29
6,Cincinnati Reds,91,71,0.562,4.9,4.2,0.6,-0.3,0.3,92-70,-1,17-15,49-30,17-19,07-Aug,49-32,42-39,08-Nov,27-27,58-49,33-22,20-33,71-38
7,Atlanta Braves,91,71,0.562,4.6,3.9,0.7,-0.1,0.6,93-69,-2,38-34,25-16,19-15,06-Sep,56-25,35-46,07-Aug,23-22,63-44,28-27,29-33,62-38
8,Texas Rangers,90,72,0.556,4.9,4.2,0.6,-0.1,0.6,91-71,-1,19-25,25-18,32-25,14-Apr,51-30,39-42,06-Nov,30-23,62-49,28-23,39-42,51-30
9,San Diego Padres,90,72,0.556,4.1,3.6,0.5,-0.1,0.4,91-71,-1,16-18,27-14,38-34,06-Sep,45-36,45-36,07-Jul,28-22,59-52,31-20,32-36,58-36
10,Boston Red Sox,89,73,0.549,5,4.6,0.5,0.2,0.7,88-74,1,37-35,15-18,24-15,13-May,46-35,43-38,12-Jun,22-26,61-44,28-29,50-53,39-20
11,Chicago White Sox,88,74,0.543,4.6,4.3,0.3,0,0.3,86-76,2,17-18,32-40,24-13,15-Mar,45-36,43-38,10-Jun,28-21,68-54,20-20,38-47,50-27
12,St. Louis Cardinals,86,76,0.531,4.5,4,0.6,-0.3,0.3,91-71,-5,18-15,39-39,20-16,06-Sep,52-29,34-47,08-Jun,20-22,60-48,26-28,37-23,49-53
13,Toronto Blue Jays,85,77,0.525,4.7,4.5,0.2,0.3,0.4,84-78,1,39-33,22-19,17-14,11-Jul,45-33,40-44,06-May,24-28,72-54,13-23,56-55,29-22
14,Colorado Rockies,83,79,0.512,4.8,4.4,0.3,-0.1,0.3,86-76,-3,16-18,21-20,37-35,06-Sep,52-29,31-50,10-Aug,28-30,49-52,34-27,40-32,43-47
15,Oakland Athletics,81,81,0.5,4.1,3.9,0.2,0.1,0.3,85-77,-4,20-25,23-19,30-27,10-Aug,47-34,34-47,07-Apr,23-20,57-60,24-21,37-53,44-28
16,Detroit Tigers,81,81,0.5,4.6,4.6,0,0,0,82-80,-1,17-22,38-34,15-18,07-Nov,52-29,29-52,08-Jul,16-26,55-60,26-21,38-45,43-36
17,Florida Marlins,80,82,0.494,4.4,4.4,0,0,0,81-81,-1,37-35,20-20,16-19,08-Jul,41-40,39-42,08-May,23-28,46-67,34-15,31-52,49-30
18,Los Angeles Angels of Anaheim,80,82,0.494,4.2,4.3,-0.1,0.1,0,79-83,1,15-27,19-26,35-22,07-Nov,43-38,37-44,07-Sep,24-25,57-54,23-28,46-60,34-22
19,Los Angeles Dodgers,80,82,0.494,4.1,4.3,-0.2,0,-0.2,78-84,2,13-20,23-19,40-32,11-Apr,45-36,35-46,04-Sep,26-24,57-55,23-27,42-51,38-31
20,New York Mets,79,83,0.488,4,4,0,0,0,81-81,-2,31-41,21-19,14-18,13-May,47-34,32-49,09-Jul,25-30,57-66,22-17,37-42,42-41
21,Milwaukee Brewers,77,85,0.475,4.6,5,-0.3,-0.2,-0.6,76-86,1,16-18,37-40,15-21,06-Sep,40-41,37-44,05-Aug,26-23,52-60,25-25,28-46,49-39
22,Houston Astros,76,86,0.469,3.8,4.5,-0.7,-0.1,-0.9,68-94,8,15-19,45-33,13-22,12-Mar,42-39,34-47,06-Jul,21-18,49-68,27-18,30-47,46-39
